,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
382,2023-10-08,47,120.0,120.0,419.4547
383,2023-10-08,48,120.0,120.0,375.091
384,2023-10-09,1,120.0,120.0,283.3183
385,2023-10-09,2,119.71,119.71,352.8539
386,2023-10-09,3,47.05,47.05,-4.8532
387,2023-10-09,4,91.0,91.0,24.6319
388,2023-10-09,5,91.0,91.0,13.8023
389,2023-10-09,6,47.0,47.0,-205.3917
390,2023-10-09,7,47.05,47.05,-176.4506
391,2023-10-09,8,47.1,47.1,-8.02201
392,2023-10-09,9,119.9935,119.9935,347.08832
393,2023-10-09,10,91.0,91.0,93.7509
394,2023-10-09,11,98.84,98.84,283.7903
395,2023-10-09,12,109.57883,109.57883,350.9554
396,2023-10-09,13,47.15,47.15,-127.52021
397,2023-10-09,14,46.0,46.0,-741.7242
398,2023-10-09,15,47.0,47.0,-557.5953
399,2023-10-09,16,48.05,48.05,-48.63839
400,2023-10-09,17,48.07,48.07,-142.18298
401,2023-10-09,18,48.1,48.1,-151.0622
402,2023-10-09,19,50.1,50.1,-106.7317
403,2023-10-09,20,50.2,50.2,-16.43069
404,2023-10-09,21,50.2,50.2,-120.39999
405,2023-10-09,22,96.68,96.68,26.6505
406,2023-10-09,23,133.0,133.0,238.05328
407,2023-10-09,24,133.0,133.0,191.6279
408,2023-10-09,25,51.5,51.5,-163.0973
409,2023-10-09,26,53.0,53.0,-242.38902
410,2023-10-09,27,51.0,51.0,-587.2109
411,2023-10-09,28,53.5,53.5,-431.4088
412,2023-10-09,29,54.01,54.01,-273.5611
413,2023-10-09,30,122.0,122.0,40.674
414,2023-10-09,31,145.0,145.0,240.0056
415,2023-10-09,32,139.0,139.0,255.45947
416,2023-10-09,33,56.8,56.8,-42.5434
417,2023-10-09,34,117.72,117.72,228.2041
418,2023-10-09,35,75.0,75.0,-5.8036
419,2023-10-09,36,169.99,169.99,310.5427
420,2023-10-09,37,200.1,200.1,270.0043
421,2023-10-09,38,201.91,201.91,454.6182
422,2023-10-09,39,165.3,165.3,274.7679
423,2023-10-09,40,76.0,76.0,-28.055
424,2023-10-09,41,121.11,121.11,335.4549
425,2023-10-09,42,117.62,117.62,85.4418
426,2023-10-09,43,76.0,76.0,-13.3063
427,2023-10-09,44,61.51,61.51,-187.7543
428,2023-10-09,45,76.0,76.0,-2.3321
429,2023-10-09,46,62.01,62.01,-6.4949
430,2023-10-09,47,115.0,115.0,109.9679
431,2023-10-09,48,115.0,115.0,160.125
432,2023-10-10,1,118.0,118.0,330.4645
433,2023-10-10,2,115.0,115.0,253.512
434,2023-10-10,3,118.0,118.0,401.5591
435,2023-10-10,4,115.0,115.0,194.8569
436,2023-10-10,5,62.05,62.05,-46.6027
437,2023-10-10,6,62.0,62.0,-204.13261
438,2023-10-10,7,110.0,110.0,172.2961
439,2023-10-10,8,115.0,115.0,421.9307
440,2023-10-10,9,115.0,115.0,454.4221
441,2023-10-10,10,115.0,115.0,394.5879
442,2023-10-10,11,99.0,99.0,185.1325
443,2023-10-10,12,109.0,109.0,189.5424
444,2023-10-10,13,109.0,109.0,46.419
445,2023-10-10,14,120.0,120.0,430.3536
446,2023-10-10,15,124.0,124.0,472.1541
447,2023-10-10,16,135.0,135.0,953.5983
448,2023-10-10,17,132.0,132.0,935.405
449,2023-10-10,18,133.4,133.4,994.6135
450,2023-10-10,19,118.0,118.0,458.7358
451,2023-10-10,20,118.0,118.0,342.5838
452,2023-10-10,21,49.0,49.0,-86.70827
453,2023-10-10,22,90.16,90.16,-145.88461
454,2023-10-10,23,117.5,117.5,267.15317
455,2023-10-10,24,117.0,117.0,291.83652
456,2023-10-10,25,110.0,110.0,143.643
457,2023-10-10,26,115.75,115.75,486.45682
458,2023-10-10,27,115.0,115.0,437.5253
459,2023-10-10,28,110.0,110.0,357.8008
460,2023-10-10,29,115.0,115.0,653.7454
461,2023-10-10,30,109.0,109.0,149.1048
462,2023-10-10,31,6.9,6.9,-163.37137
463,2023-10-10,32,6.9,6.9,-215.27673
464,2023-10-10,33,42.0,42.0,-277.1682
465,2023-10-10,34,49.0,49.0,-177.73022
466,2023-10-10,35,0.0,0.0,-148.96487
467,2023-10-10,36,34.88,34.88,-96.12861
468,2023-10-10,37,50.0,50.0,-9.8924
469,2023-10-10,38,125.0,125.0,397.8887
470,2023-10-10,39,134.0,134.0,486.9905
471,2023-10-10,40,134.0,134.0,429.5037
472,2023-10-10,41,96.9,96.9,421.91202
473,2023-10-10,42,96.43091,96.43091,348.58
474,2023-10-10,43,129.0,129.0,54.4094
475,2023-10-10,44,129.0,129.0,18.46119
476,2023-10-10,45,123.0,123.0,52.27489
477,2023-10-10,46,129.0,129.0,627.3279
478,2023-10-10,47,132.9,132.9,826.8098
479,2023-10-10,48,127.0,127.0,343.8205
480,2023-10-11,1,47.87,47.87,21.24782
481,2023-10-11,2,-34.1,-34.1,-107.6098
482,2023-10-11,3,-61.04,-61.04,-304.0735
483,2023-10-11,4,-61.04,-61.04,-290.7749
484,2023-10-11,5,120.0,120.0,86.2906
485,2023-10-11,6,-61.04,-61.04,-118.5857
486,2023-10-11,7,-61.04,-61.04,-190.86499
487,2023-10-11,8,-10.62,-10.62,-173.96211
488,2023-10-11,9,-61.04,-61.04,-201.28679
489,2023-10-11,10,-61.04,-61.04,-114.3989
490,2023-10-11,11,-0.77,-0.77,-4.81379
491,2023-10-11,12,129.0,129.0,292.9853
492,2023-10-11,13,126.95,126.95,5.6983
493,2023-10-11,14,-39.9,-39.9,-333.7324
494,2023-10-11,15,-28.55,-28.55,-323.74692
495,2023-10-11,16,132.0,132.0,183.968
496,2023-10-11,17,132.0,132.0,420.4398
497,2023-10-11,18,132.0,132.0,411.5475
498,2023-10-11,19,129.0,129.0,291.53052
499,2023-10-11,20,128.5,128.5,368.8027
500,2023-10-11,21,124.0,124.0,132.6835
501,2023-10-11,22,124.0,124.0,216.5622
502,2023-10-11,23,125.0,125.0,436.3505
503,2023-10-11,24,125.0,125.0,530.3059
504,2023-10-11,25,124.0,124.0,342.5412
505,2023-10-11,26,128.5,128.5,677.7437
506,2023-10-11,27,129.0,129.0,808.9632
507,2023-10-11,28,129.0,129.0,782.0475
508,2023-10-11,29,129.0,129.0,776.7764
509,2023-10-11,30,140.0,140.0,947.8369
510,2023-10-11,31,129.0,129.0,833.5274
511,2023-10-11,32,140.0,140.0,870.89734
512,2023-10-11,33,148.0,148.0,1084.0701
513,2023-10-11,34,148.0,148.0,698.7182
514,2023-10-11,35,153.5,153.5,548.846
515,2023-10-11,36,154.9,154.9,555.2673
516,2023-10-11,37,154.9,154.9,617.9291
517,2023-10-11,38,153.5,153.5,394.9406
518,2023-10-11,39,154.0,154.0,367.50842
519,2023-10-11,40,145.0,145.0,205.7456
520,2023-10-11,41,145.0,145.0,294.7904
521,2023-10-11,42,145.0,145.0,439.1552
522,2023-10-11,43,154.9,154.9,423.5711
523,2023-10-11,44,140.0,140.0,156.6898
524,2023-10-11,45,127.0,127.0,31.7121
525,2023-10-11,46,50.11,50.11,-109.1619
526,2023-10-11,47,50.11,50.11,-485.23282
527,2023-10-11,48,50.5,50.5,-238.90161
528,2023-10-12,1,50.5,50.5,-114.51299
529,2023-10-12,2,140.0,140.0,528.4005
530,2023-10-12,3,123.7,123.7,247.3161
531,2023-10-12,4,130.0,130.0,203.6172
532,2023-10-12,5,130.0,130.0,200.8535
533,2023-10-12,6,130.0,130.0,203.5335
534,2023-10-12,7,150.0,150.0,129.4186
535,2023-10-12,8,150.0,150.0,113.3779
536,2023-10-12,9,154.9,154.9,156.4648
537,2023-10-12,10,130.0,130.0,58.3773
538,2023-10-12,11,149.0,149.0,64.9996
539,2023-10-12,12,51.33,51.33,-76.55379
540,2023-10-12,13,149.0,149.0,136.622
541,2023-10-12,14,53.0,53.0,-7.1413
542,2023-10-12,15,146.13,146.13,172.4391
543,2023-10-12,16,149.0,149.0,340.7024
544,2023-10-12,17,159.0,159.0,246.45477
545,2023-10-12,18,149.0,149.0,231.1061
546,2023-10-12,19,149.0,149.0,76.4326
547,2023-10-12,20,149.0,149.0,41.2669
548,2023-10-12,21,148.0,148.0,15.184
549,2023-10-12,22,56.1,56.1,-110.82691
550,2023-10-12,23,56.2,56.2,-29.4377
551,2023-10-12,24,56.2,56.2,-71.8326
552,2023-10-12,25,56.25,56.25,-182.5474
553,2023-10-12,26,85.37,85.37,-388.56198
554,2023-10-12,27,93.04,93.04,-189.01083
555,2023-10-12,28,62.44595,62.44595,-311.6524
556,2023-10-12,29,91.48,91.48,11.4401
